Total Word Count - Unique Word Count : (184384, 49)
administration : (76, 'nn-tl')
bill : (76, 'np-tl')
soviet : (76, 'nn')
family : (75, 'nn-tl')
today : (75, 'nr')
part : (75, 'nn')
came : (75, 'vbd')
know : (75, 'vb-hl')
set : (74, 'vbn-hl')
go : (73, 'vb-tl')
better : (73, 'ql')
business : (73, 'nn-hl')
company : (73, 'nn-hl')
meeting : (72, 'vbg-hl')
dr. : (72, 'nn-tl-hl')
show : (72, 'nn-tl-hl')
! : (72, '.-hl')
season : (72, 'nn')
himself : (71, 'ppl-hl')
days : (71, 'nns-hl')
again : (71, 'rb-tl')
same : (71, 'ap')
best : (70, 'np-tl')
almost : (70, 'ql-tl')
group : (70, 'nn-tl')
me : (70, 'ppo-tl')
second : (70, 'od-hl')
court : (69, 'vb')
million : (69, 'cd')
every : (69, 'at')
several : (69, 'ap')
special : (69, 'jj-tl')
called : (69, 'vbd')
' : (68, "'")
st. : (68, 'np-hl')
club : (68, 'nn-tl-hl')
place : (67, 'np')
1 : (67, 'cd-hl')
told : (67, 'vbn')
play : (67, 'nn')
use : (65, 'nn-hl')
fact : (64, 'nn-hl')
give : (64, 'vb')
yesterday : (64, 'nr')
country : (64, 'nn-tl')
among : (63, 'in')
given : (63, 'vbn-hl')
need : (63, 'md')
case : (63, 'np-tl')
car : (63, 'nn-tl')
law : (62, 'nn-tl')
federal : (62, 'jj-tl')
present : (61, 'nn')
help : (61, 'vb-hl')
least : (61, 'ql')
open : (61, 'vb-hl')
khrushchev : (61, 'np')
department : (60, 'nn')
political : (60, 'jj-tl')
james : (60, 'np-tl')
toward : (60, 'in-hl')
got : (60, 'vbd-tl')
along : (60, 'rb')
once : (60, 'rb-tl')
small : (60, 'np')
asked : (59, 'vbn-hl')
sunday : (59, 'nr')
put : (59, 'vbd')
ever : (59, 'rb')
ago : (59, 'rb')
communist : (59, 'nn')
until : (59, 'in')
problem : (58, 'nn-tl')
says : (58, 'vbz')
cent : (58, 'nn')
past : (58, 'in')
church : (58, 'np')
college : (58, 'nn-hl')
upon : (57, 'in-tl')
fine : (57, 'rb')
berlin : (57, 'np-hl')
secretary : (57, 'nn')
area : (57, 'nn-tl')
field : (57, 'np-tl')
game : (57, 'vb')
number : (56, 'nn-hl')
end : (56, 'nn-tl')
future : (56, 'jj-tl')
2 : (56, 'cd-hl')
council : (56, 'nn')
become : (56, 'vbn')
sales : (56, 'nns-tl')
democratic : (56, 'jj')
enough : (56, 'ap-hl')
your : (56, 'pp$-tl')
think : (56, 'vb')
center : (56, 'nn-tl')
election : (55, 'nn-tl')
held : (55, 'vbd-hl')
five : (55, 'cd-hl')
yet : (55, 'cc')
went : (55, 'vbd')
dallas : (55, 'np-hl')
say : (55, 'vb-tl')
matter : (55, 'nn-tl-hl')
nuclear : (55, 'jj')
early : (55, 'jj-hl')
point : (55, 'nn-hl')
less : (54, 'ap-hl')
hospital : (54, 'nn-tl')
monday : (54, 'nr')
congress : (54, 'np-hl')
u.s. : (54, 'np-hl')
union : (54, 'nn')
around : (54, 'rb')
military : (54, 'jj-tl')
chairman : (53, 'nn-tl')
done : (53, 'vbn')
question : (53, 'nn-tl')
series : (53, 'nn-tl')
power : (53, 'nn-tl')
labor : (53, 'nn-hl')
expected : (52, 'vbn-hl')
third : (52, 'rb')
north : (52, 'nr')
took : (51, 'vbd')
j. : (51, 'np-tl')
whether : (51, 'cs')
local : (51, 'nn-tl')
schools : (51, 'nns-hl')
a. : (51, 'np')
record : (51, 'nn')
seems : (51, 'vbz')
street : (51, 'nn-tl-hl')
plan : (50, 'nn-hl')
texas : (50, 'np-hl')
session : (50, 'nn-tl')
later : (50, 'jjr')
act : (49, 'nn-hl')
added : (49, 'vbn-hl')
william : (49, 'np-tl')
vote : (49, 'nn-hl')
taken : (49, 'vbn')
although : (49, 'cs')
going : (49, 'vbg-tl')
really : (49, 'rb-tl')
away : (49, 'rb-tl')
jr. : (48, 'np')
often : (48, 'rb')
found : (48, 'vbd')
education : (48, 'nn-tl')
real : (48, 'ql')
league : (48, 'nn-hl')
months : (48, 'nns')
perhaps : (48, 'rb')
laos : (48, 'np-hl')
nations : (48, 'nns-tl-hl')
sense : (48, 'vb')
leaders : (48, 'nns-hl')
start : (48, 'vb-hl')
saturday : (48, 'nr-tl')
mantle : (48, 'nn')
jury : (47, 'nn-hl')
possible : (47, 'jj')
top : (47, 'jjs-tl')
action : (47, 'nn-hl')
march : (47, 'vb')
foreign : (47, 'jj-tl')
gave : (47, 'vbd')
though : (47, 'rb')
chicago : (47, 'np-hl')
british : (47, 'nps')
recent : (46, 'jj')
association : (46, 'nn')
wife : (46, 'nn')
robert : (46, 'np-tl')
making : (46, 'nn-tl')
increase : (46, 'nn-hl')
pay : (46, 'nn-hl')
aid : (46, 'nn-hl')
something : (46, 'pn')
4 : (46, 'cd-hl')
reported : (46, 'vbn-hl')
themselves : (46, 'ppls')
rather : (46, 'rb')
policy : (46, 'nn-tl')
south : (46, 'nr')
peace : (46, 'nn-hl')
began : (46, 'vbd')
reason : (46, 'nn')
p.m. : (46, 'rb')
late : (46, 'rb')
police : (45, 'nns-hl')
audience : (45, 'nn')
system : (45, 'nn-tl')
support : (45, 'nn-hl')
why : (45, 'wrb-hl')
10 : (45, 'cd-tl')
1960 : (45, 'cd-tl')
palmer : (45, 'np')
tuesday : (44, 'nr')
cannot : (44, 'md*')
large : (44, 'rb')
others : (44, 'nns-hl')
it's : (44, 'pps+bez-hl')
organization : (44, 'nn-tl')
half : (44, 'ql')
times : (44, 'in')
member : (44, 'nn-tl')
whose : (44, 'wp$')
stage : (44, 'vb')
s. : (44, 'jj-tl')
seem : (44, 'vb')
major : (43, 'np')
announced : (43, 'vbd')
race : (43, 'nn-hl')
w. : (43, 'np-hl')
director : (43, 'nn-tl')
issue : (43, 'nn-hl')
including : (43, 'in')
international : (43, 'nn')
industry : (43, 'nn-hl')
month : (43, 'nn')
total : (43, 'jj-hl')
friday : (42, 'nr')
received : (42, 'vbn')
money : (42, 'nn')
history : (42, 'nn')
already : (42, 'rb')
full : (42, 'rb')
performance : (42, 'nn')
don't : (42, 'doz*')
ball : (42, 'np-hl')
jazz : (42, 'nn-tl-hl')
judge : (41, 'vb')
run : (41, 'vbn')
strong : (41, 'rb')
1961 : (41, 'cd')
earlier : (41, 'jjr')
itself : (41, 'ppl')
former : (41, 'ap')
district : (41, 'nn-tl')
firm : (41, 'jj')
problems : (41, 'nns')
community : (41, 'nn-tl')
able : (41, 'jj')
hand : (41, 'np')
played : (41, 'vbd-hl')
playing : (41, 'nn')
brought : (40, 'vbd-hl')
development : (40, 'nn-tl')
c. : (40, 'np-tl')
color : (40, 'nn-tl')
used : (40, 'vbd')
negro : (40, 'np-tl')
always : (40, 'rb')
free : (40, 'jj-tl-hl')
things : (40, 'nns')
russian : (40, 'jj-tl')
musical : (40, 'jj-tl')
result : (39, 'vb')
george : (39, 'np-tl')
eight : (39, 'cd-tl')
quite : (39, 'rb')
room : (39, 'nn-tl')
republican : (39, 'jj-tl')
look : (39, 'vb-hl')
book : (39, 'nn-tl')
player : (39, 'nn-tl')
editor : (39, 'nn')
office : (38, 'nn-tl')
b. : (38, 'np-tl')
together : (38, 'rb-tl')
blue : (38, 'nn')
let : (38, 'nn')
order : (38, 'nn-hl')
means : (38, 'nns-tl')
probably : (38, 'rb')
team : (38, 'nn')
six : (38, 'cd-tl')
meet : (38, 'vb-hl')
whole : (38, 'nn')
economic : (38, 'jj-tl')
job : (38, 'nn-hl')
head : (37, 'nn-tl-hl')
word : (37, 'nn')
report : (37, 'nn-hl')
students : (37, 'nns-tl')
heard : (37, 'vbd')
3 : (37, 'od-tl')
kind : (37, 'jj-hl')
leader : (37, 'nn-tl')
side : (37, 'nn-hl')
richard : (37, 'np')
land : (37, 'nn-hl')
feel : (36, 'nn')
e. : (36, 'jj-tl')
english : (36, 'nps')
needed : (36, 'vbn-hl')
town : (36, 'nn-hl')
park : (36, 'nn-hl')
maris : (36, 'np')
words : (36, 'nns')
won : (35, 'vbn')
laws : (35, 'nns')
provide : (35, 'vb')
fire : (35, 'nn-tl')
apparently : (35, 'rb')
death : (35, 'nn-tl-hl')
louis : (35, 'np-tl')
final : (35, 'nn')
& : (35, 'cc-hl')
serious : (35, 'jj')
social : (35, 'jj-tl')
thing : (35, 'nn')
efforts : (35, 'nns')
equipment : (35, 'nn')
name : (35, 'vb')
example : (35, 'nn')
moscow : (35, 'np-tl')
runs : (35, 'vbz')
hit : (35, 'nn-hl')
mother : (35, 'nn-hl')
evening : (35, 'nn-tl')
orchestra : (35, 'nn-tl')
interest : (34, 'nn-hl')
official : (34, 'nn')
force : (34, 'nn-hl')
senate : (34, 'nn-hl')
soon : (34, 'rb')
annual : (34, 'jj')
frank : (34, 'np-tl')
army : (34, 'nn-hl')
defense : (34, 'nn-hl')
staff : (34, 'nn')
weeks : (34, 'np')
line : (34, 'vb')
conference : (34, 'nn-tl')
h. : (34, 'np')
position : (34, 'nn-hl')
private : (34, 'nn')
single : (34, 'jj')
germany : (34, 'np-hl')
art : (34, 'nn-tl')
dance : (34, 'nn-hl')
market : (34, 'nn-tl')
russia : (34, 'np-hl')
effect : (33, 'vb')
amount : (33, 'vb')
effort : (33, 'nn')
project : (33, 'vb')
close : (33, 'nn')
working : (33, 'vbg-hl')
sound : (33, 'nn-tl')
eisenhower : (33, 'np-hl')
spirit : (33, 'nn-tl')
move : (33, 'vb-hl')
friends : (33, 'nns-tl')
recently : (33, 'rb')
sometimes : (33, 'rb')
french : (33, 'jj-hl')
campaign : (32, 'vb')
d. : (32, 'np')
certain : (32, 'jj')
commission : (32, 'nn')
decided : (32, 'vbn')
choice : (32, 'nn-tl')
summer : (32, 'nn-hl')
cut : (32, 'nn-hl')
stand : (32, 'nn')
within : (32, 'in')
having : (32, 'hvg')
known : (32, 'vbn')
keep : (32, 'vb')
drive : (32, 'nn-tl-hl')
lead : (32, 'nn')
hall : (32, 'nn-hl')
funds : (31, 'nns-hl')
mayor : (31, 'nn-tl-hl')
sept. : (31, 'np')
georgia : (31, 'np-hl')
according : (31, 'in')
face : (31, 'nn-tl')
areas : (31, 'nns')
paid : (31, 'vbd')
plans : (31, 'nns-hl')
budget : (31, 'nn-hl')
lost : (31, 'vbd')
de : (31, 'fw-in-tl')
f. : (31, 'np')
co. : (31, 'nn-tl')
programs : (31, 'nns')
situation : (31, 'nn')
period : (31, 'nn-tl')
want : (31, 'vb')
theater : (31, 'nn-tl')
form : (31, 'vb')
hotel : (31, 'nn')
london : (31, 'np-hl')
stock : (31, 'vb')
health : (30, 'nn-tl')
son : (30, 'nn-hl')
daughter : (30, 'nn')
getting : (30, 'vbg')
8 : (30, 'cd-hl')
led : (30, 'vbd-hl')
instead : (30, 'rb')
30 : (30, 'cd')
radio : (30, 'nn-tl')
statement : (30, 'nn')
20 : (30, 'cd')
billion : (30, 'cd')
spring : (30, 'nn-tl')
control : (30, 'nn-tl')
central : (30, 'jj')
air : (30, 'nn-hl')
fall : (30, 'nn-tl')
miles : (30, 'np-tl')
15 : (30, 'cd-hl')
society : (30, 'nn')
baseball : (30, 'nn-tl')
nor : (30, 'cc')
makes : (30, 'vbz')
style : (30, 'nn')
find : (29, 'vb')
medical : (29, 'jj-tl')
m. : (29, 'np-hl')
sen. : (29, 'nn-tl')
seemed : (29, 'vbn')
needs : (29, 'nns')
doing : (29, 'nn')
moving : (29, 'nn')
25 : (29, 'cd-tl')
important : (29, 'jj')
victory : (29, 'nn-tl')
hope : (29, 'nn-hl')
am : (29, 'nn')
minutes : (29, 'nns-tl')
try : (29, 'vb')
7 : (29, 'cd-tl')
view : (29, 'nn-tl')
above : (29, 'jj')
opening : (29, 'nn')
short : (29, 'jj-hl')
news : (29, 'nn-hl')
christian : (29, 'np')
china : (29, 'np-tl')
further : (28, 'vb')
legislature : (28, 'nn')
services : (28, 'vbz')
attorney : (28, 'nn-tl')
research : (28, 'nn-hl')
merely : (28, 'ql')
persons : (28, 'nns')
designed : (28, 'vbn-hl')
coming : (28, 'nn')
believe : (28, 'vb')
attack : (28, 'nn-hl')
living : (28, 'nn')
actually : (28, 'rb')
care : (28, 'nn-hl')
higher : (28, 'jjr-hl')
can't : (28, 'md*')
hour : (28, 'nn')
demand : (28, 'nn-hl')
individual : (28, 'jj-hl')
countries : (28, 'nns')
certainly : (28, 'rb')
letter : (28, 'nn')
complete : (28, 'vb')
turned : (28, 'vbn')
presented : (28, 'vbd')
nothing : (28, 'pn-tl')
love : (28, 'vb-tl')
either : (28, 'rb')
feet : (28, 'nns')
thomas : (28, 'np-tl')
turn : (28, 'vb-hl')
happy : (28, 'jj-hl')
catholic : (28, 'jj-tl')
human : (28, 'jj-tl')
relations : (27, 'nns-hl')
ready : (27, 'jj')
live : (27, 'vb-tl')
san : (27, 'np-hl')
taking : (27, 'vbg')
security : (27, 'nn-tl')
change : (27, 'nn-hl')
rule : (27, 'nn-tl')
communists : (27, 'nns-tl')
america : (27, 'np-tl')
anyone : (27, 'pn')
neither : (27, 'dtx')
movement : (27, 'nn')
women : (27, 'nns-tl')
necessary : (27, 'jj')
southern : (27, 'jj')
bring : (27, 'vb')
trying : (27, 'vbg-tl')
works : (27, 'nns-hl')
reached : (27, 'vbd')
oct. : (27, 'np-hl')
farm : (27, 'nn')
games : (27, 'nns-tl')
german : (27, 'np-hl')
production : (27, 'nn')
evidence : (26, 'nn')
generally : (26, 'ql')
child : (26, 'nn')
governor : (26, 'nn-tl')
authority : (26, 'nn-tl')
road : (26, 'nn-hl')
opened : (26, 'vbn')
seek : (26, 'vb')
calls : (26, 'vbz-hl')
18 : (26, 'cd-tl')
dollars : (26, 'nns-hl')
personal : (26, 'jj')
tell : (26, 'vb-tl')
chief : (26, 'jjs-tl')
kept : (26, 'vbd-hl')
idea : (26, 'nn-hl')
12 : (26, 'cd-tl')
person : (26, 'nn-tl')
corps : (26, 'fw-nn')
outside : (26, 'jj')
lines : (26, 'vbz')
clear : (26, 'rb')
points : (26, 'vbz')
hardly : (26, 'ql')
thus : (26, 'ql')
growth : (26, 'nn-tl')
industrial : (26, 'jj-hl')
started : (26, 'vbn')
western : (26, 'jj')
doesn't : (26, 'doz*')
tried : (26, 'vbn')
boy : (26, 'nn-hl')
dinner : (26, 'nn')
tests : (26, 'nns-hl')
moment : (26, 'nn')
ballet : (26, 'fw-nn')
grand : (25, 'fw-jj-tl')
greater : (25, 'jjr-tl')
cost : (25, 'vbn')
welfare : (25, 'nn-hl')
citizens : (25, 'nns-tl')
age : (25, 'nn')
l. : (25, 'np')
became : (25, 'vbd')
wednesday : (25, 'nr')
afternoon : (25, 'nn')
study : (25, 'vb-tl')
construction : (25, 'nn-tl')
saw : (25, 'vb')
charles : (25, 'np-tl')
hard : (25, 'rb')
planning : (25, 'vbg-tl')
natural : (25, 'jj-hl')
water : (25, 'nn-tl-hl')
hours : (25, 'nns')
island : (25, 'nn')
pressure : (25, 'nn')
assembly : (25, 'nn-hl')
different : (25, 'jj')
forces : (25, 'vbz')
1959 : (25, 'cd')
responsibility : (25, 'nn')
call : (25, 'nn-tl')
religious : (25, 'jj-tl')
across : (25, 'in-hl')
especially : (25, 'ql')
charter : (25, 'nn-hl')
answer : (25, 'nn-hl')
democrats : (25, 'nps')
low : (25, 'nn')
picture : (25, 'nn')
wall : (25, 'np')
23 : (25, 'cd-hl')
band : (25, 'nn-tl')
anti-trust : (25, 'jj')
executive : (24, 'jj')
seen : (24, 'vbn')
receive : (24, 'vb')
fair : (24, 'rb')
aug. : (24, 'np')
henry : (24, 'np-tl')
near : (24, 'ql')
fund : (24, 'nn-hl')
battle : (24, 'nn-hl')
post : (24, 'np')
r. : (24, 'np-hl')
except : (24, 'in')
martin : (24, 'np')
attention : (24, 'nn')
crisis : (24, 'nn-hl')
following : (24, 'nn')
behind : (24, 'rb')
leadership : (24, 'nn-hl')
difficult : (24, 'jj')
manager : (24, 'nn-tl')
entire : (24, 'jj')
sure : (24, 'rb')
los : (24, 'np-tl')
modern : (24, 'jj-tl')
5 : (24, 'cd-hl')
birds : (24, 'nns-tl')
bob : (24, 'np')
yankees : (24, 'nps-tl')
yards : (24, 'nns-tl')
husband : (24, 'nn')
body : (24, 'nn')
beautiful : (24, 'jj-tl')
opera : (24, 'fw-nn')
slow : (24, 'vb')
version : (24, 'nn-tl')
worth : (23, 'np')
test : (23, 'nn-hl')
worked : (23, 'vbd')
didn't : (23, 'dod*-tl')
p. : (23, 'nn')
thursday : (23, 'nr')
fight : (23, 'nn-hl')
seven : (23, 'cd-hl')
declared : (23, 'vbn')
hughes : (23, 'np-tl')
jones : (23, 'np-hl')
6 : (23, 'cd-tl')
willing : (23, 'jj')
return : (23, 'vb')
football : (23, 'nn-tl')
trial : (23, 'nn-hl')
whom : (23, 'wpo-tl')
involved : (23, 'vbn-hl')
9 : (23, 'cd-tl')
particularly : (23, 'ql')
lack : (23, 'nn-hl')
interested : (23, 'jj')
station : (23, 'nn-tl')
share : (23, 'vb')
nearly : (23, 'rb')
popular : (23, 'jj')
shall : (23, 'md')
driver : (23, 'nn-tl')
premier : (23, 'nn-tl')
role : (23, 'nn')
agreement : (23, 'nn-hl')
avenue : (23, 'nn')
portland : (23, 'np-tl')
century : (23, 'nn-tl')
plays : (23, 'vbz')
dancing : (23, 'vbg')
stations : (23, 'nns')
collection : (23, 'nn')
shares : (23, 'vbz')
concert : (23, 'nn-tl')
couple : (22, 'nn')
candidate : (22, 'nn')
despite : (22, 'in')
passed : (22, 'vbd')
directed : (22, 'vbd')
everything : (22, 'pn')
current : (22, 'jj')
population : (22, 'nn')
senator : (22, 'nn')
spent : (22, 'vbd')
junior : (22, 'nn')
cases : (22, 'nns-hl')
tomorrow : (22, 'nr-hl')
television : (22, 'nn')
building : (22, 'nn-tl')
workers : (22, 'nns-hl')
americans : (22, 'nps-tl')
railroad : (22, 'nn-tl')
nine : (22, 'cd')
student : (22, 'nn-tl')
atmosphere : (22, 'nn')
nixon : (22, 'np')
direction : (22, 'nn')
civil : (22, 'jj-tl')
basis : (22, 'nn')
level : (22, 'nn')
gen. : (22, 'jj-tl')
original : (22, 'jj-tl')
comes : (22, 'vbz')
followed : (22, 'vbd')
using : (22, 'vbg')
shown : (22, 'vbn')
training : (22, 'vbg')
g. : (22, 'np')
feeling : (22, 'vbg')
u. : (22, 'nn-tl')
due : (22, 'nn')
angeles : (22, 'np-tl')
jack : (22, 'np')
god : (22, 'np-tl')
england : (22, 'np-tl')
straight : (22, 'rb')
award : (22, 'nn-hl')
song : (22, 'nn-tl')
arts : (22, 'nns')
singing : (22, 'nn')
closed : (22, 'vbn-hl')
girls : (22, 'nns-hl')
communism : (22, 'nn')
simply : (22, 'rb')
charge : (21, 'nn-hl')
effective : (21, 'jj')
continue : (21, 'vb')
takes : (21, 'vbz-hl')
additional : (21, 'jj')
officials : (21, 'nns')
property : (21, 'nn-tl')
aj : (21, 'nn')
hold : (21, 'nn')
sam : (21, 'np-hl')
likely : (21, 'rb')
resolution : (21, 'nn')
similar : (21, 'jj')
november : (21, 'np')
read : (21, 'np')
rules : (21, 'nns-hl')
hear : (21, 'vb')
bills : (21, 'nps')
addition : (21, 'nn-hl')
true : (21, 'rb')
press : (21, 'nn-tl-hl')
freedom : (21, 'nn-tl')
11 : (21, 'cd-hl')
floor : (21, 'nn')
met : (21, 'np-hl')
heart : (21, 'nn')
politics : (21, 'nn-hl')
groups : (21, 'nns-hl')
trade : (21, 'vb')
david : (21, 'np-tl')
providence : (21, 'np-hl')
mitchell : (21, 'np')
he's : (21, 'pps+hvz')
common : (21, 'nn')
talk : (21, 'nn')
green : (21, 'jj-hl')
usually : (21, 'rb')
professional : (21, 'jj-tl')
approach : (21, 'vb')
scene : (21, 'nn-tl')
smith : (21, 'np-tl')
continued : (21, 'vbn')
appeared : (21, 'vbn')
account : (21, 'nn-hl')
father : (21, 'nn-tl')
dropped : (21, 'vbd')
stadium : (21, 'nn-hl')
moved : (21, 'vbn')
brown : (21, 'nn')
boys : (21, 'nns-tl')
film : (21, 'nn-tl')
cold : (21, 'nn')
note : (21, 'vb')
cast : (21, 'vbd')
podger : (21, 'np')
primary : (20, 'jj')
manner : (20, 'nn')
ask : (20, 'vb-hl')
pass : (20, 'vb-tl')
operation : (20, 'nn-tl')
republicans : (20, 'nps-hl')
candidates : (20, 'nns')
bit : (20, 'vbd')
leading : (20, 'vbg')
shot : (20, 'vbn')
scheduled : (20, 'vbd')
attend : (20, 'vb-hl')
finally : (20, 'rb')
sent : (20, 'vbn-hl')
april : (20, 'np-hl')
22 : (20, 'cd-tl')
information : (20, 'nn-tl')
24 : (20, 'cd-hl')
served : (20, 'vbd-hl')
deal : (20, 'vb-hl')
indicated : (20, 'vbn')
july : (20, 'np-hl')
parts : (20, 'nns')
housing : (20, 'nn-tl')
kennedy's : (20, 'np$')
dramatic : (20, 'jj')
changes : (20, 'nns-tl')
cars : (20, 'nns')
arms : (20, 'nns-tl')
score : (20, 'vb')
favor : (20, 'vb')
nation : (20, 'nn-tl')
vital : (20, 'jj')
joseph : (20, 'np')
chance : (20, 'nn-hl')
average : (20, 'vb')
running : (20, 'vbg')
considered : (20, 'vbd')
wrong : (20, 'nn')
ways : (20, 'nns-tl')
failed : (20, 'vbn')
win : (20, 'vb-hl')
writes : (20, 'vbz')
progress : (20, 'vb')
strength : (20, 'nn')
jobs : (20, 'nns-hl')
eyes : (20, 'nns')
hands : (20, 'nns-hl')
philadelphia : (20, 'np-hl')
thought : (20, 'vbn')
voice : (20, 'nn-tl')
bible : (20, 'np-tl')
light : (20, 'vb')
break : (20, 'nn-hl')
francisco : (20, 'np-hl')
14 : (20, 'cd-hl')
anything : (20, 'pn')
songs : (20, 'nns')
girl : (20, 'nn-tl')
guests : (20, 'nns-hl')
food : (20, 'nn-tl')
greenwich : (20, 'np')
unions : (20, 'nns')
contemporary : (20, 'jj-hl')
becomes : (20, 'vbz')
term : (19, 'nn')
costs : (19, 'nns-hl')
purpose : (19, 'nn')
wanted : (19, 'vbn')
gov. : (19, 'nn-tl')
visit : (19, 'vb')
1958 : (19, 'cd')
offered : (19, 'vbn')
quiet : (19, 'jj-tl')
measure : (19, 'vb')
doubt : (19, 'nn-hl')
agency : (19, 'nn-tl')
estimated : (19, 'vbn-hl')
letters : (19, 'nns-tl')
proposal : (19, 'nn-hl')
felt : (19, 'vbn')
la : (19, 'np')
